Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
BIOL,4380,302,,7,2,4,5,2,1,1,,,,,,0,,,,,"Borovkov, Irina G","Nowak, Chance M","Brathaban, Nivetha",,,
ATCM,3335,001,4,1,4,1,1,3,2,2,,1,,,3,0,,,,,"Kane, Simon A",,,,,
GEOG,3331,501,1,7,2,5,4,3,,,,,,,,0,,,,,"Vakulenko, Irina","Venigalla, Lasya",,,,
FIN,6301,AW1,,14,4,3,1,,,,,,,,,0,,,,,"Reichert, Carolyn A",,,,,
BIOL,4380,305,,4,6,1,4,2,1,1,3,,,,,0,,,,,"Borovkov, Irina G","Wei, Hong",,,,
ACCT,6305,002,,16,,1,5,,,,,,,,,0,,,,,"Loumioti, Maria","Hou, Liya",,,,
COMM,1315,0H2,16,3,1,,1,,,,1,,,,,0,,,,,"Saenz, Michael A",,,,,
BIOL,2281,312,5,3,5,1,2,2,1,1,,,1,,1,0,,,,,"Pickett, Elizabeth A","Udhayakumar, Bhavatharini",,,,
MECH,3320,001,3,4,3,5,3,1,1,2,,,,,,0,,,,,"Dai, Xianming",,,,,
CS,6301,006,,15,6,,1,,,,,,,,,0,,,,,"Du, Ding Z",,,,,
OPRE,4310,001,2,3,2,2,6,1,1,,2,,,,3,0,,,,,"Ramanathan, Kannan","Li, Changpei","Chou, Cheng-Chih",,,
ATCM,2300,205,,,,,,,,,,,,,,0,,,,,"Balsamo, Anne","Bell, Elizabeth A","Ramakrishnan, Sharathchandra",,,
MECH,4381,201,,,,,,,,,,,,,,0,,,,,"Hart, Robert A","Gravell, Jamie D",,,,
CS,6326,001,,4,,,9,,,,,,,,,0,,1,,,"Cole, John","Shahbazi, Nima",,,,
CS,1335,001,1,3,,2,3,3,,1,1,,3,,2,4,,,,,"Narayanasami, Priya",,,,,
BUAN,6341,501,,7,1,5,4,3,,,,,,,,2,,,,,"Sabir, Muhammad F","Sandilya, Nimish K",,,,
MATH,1326,501,1,1,,2,1,,4,2,1,4,1,1,3,2,,,,,"Paudel, Ajaya B",,,,,
MATH,4362,001,,7,3,,4,3,1,1,1,,,,1,2,,,,,"Turi, Janos",,,,,
PSY,3393,001,,13,,,5,,,3,,,,,,1,,,,,"Meltzer, Mitchell A","Zhao, Yuguang",,,,
BIOL,2281,311,3,8,3,,,4,1,1,1,,1,,,1,,,,,"Pickett, Elizabeth A","Udhayakumar, Bhavatharini",,,,
ECON,2302,HN1,,10,6,2,2,2,,,,,,,,1,,,,,"Grover, William C","Jeoun, Paul",,,,
PA,6315,501,,17,5,,,,,,,,,,,0,,1,,,"Harrington, James","Park, Yong Jun",,,,
GEOG,2302,001,3,2,,2,2,3,1,2,,,2,1,4,1,,,,,"Cummings, Anthony R","Liau, Yan-Ting",,,,
BIOL,2281,803,2,3,6,3,5,2,,,,1,,,,1,,,,,"Hill, Brenna R","Do, Hung P",,,,
MECH,6342,001,,11,6,3,2,,,,,,,,,1,,,,,"Zhang, Jie",,,,,
BIOL,2281,802,1,6,2,2,6,1,2,1,1,,,,,1,,,,,"Mehta, Iti","Saini, Ankur",,,,
MECH,6372,001,,8,2,2,5,3,2,,,,,,,1,,,,,"Leonardi, Stefano",,,,,
COMM,1311,5W1,,9,2,3,5,2,1,,,,,,,1,,,,,"Totusek, Patricia F",,,,,
MATH,6302,501,,5,4,4,5,3,,1,,,,,,0,,1,,,"Krawcewicz, Wieslaw Z",,,,,
MKT,4332,001,4,10,,2,4,,,2,,,,,,1,,,,,"Dover, Howard F",,,,,
CHEM,2125,107,13,7,2,,,,,,,,,,,1,,,,,"Wijenayake, Sumudu N","Wang, Hanghang",,,,
HIST,4359,002,8,3,2,2,5,,,,,,,,2,1,,,,,"Roemer, Nils H","Valente, Sarah d","Gonzalez Corona, Pedro Jose",,,
FIN,4300,002,4,5,2,1,2,1,2,,2,,1,1,1,1,,,,,"Tang, Xiaoxiao","Han, Munhee",,,,
PHYS,2125,133,,17,1,1,,,,1,,,,,2,1,,,,,"Sun, Kuei","Mahmud, Mohammad M",,,,
BIOL,2281,313,1,6,4,4,3,3,1,,,,,,,1,,,,,"Lin, Wen J","Saini, Ankur",,,,
ACCT,4337,001,2,3,2,7,2,4,,,2,,,,,1,,,,,"Richards, James R",,,,,
HMGT,3311,002,,7,3,3,1,,3,2,2,,,,1,1,,,,,"Karnuta, Daniel",,,,,
BUAN,6398,0W1,,7,1,1,5,7,,,,,,,1,1,,,,,"Kuo, Ching-Chung","Takasi, Venkanna Dora Goutham",,,,
ACCT,6202,CH1,,22,,,1,,,,,,,,,0,,,,,"Sadka, Gil","Chu, Yu Fang","Fan, Zhongwen",,,
CGS,2301,HN1,10,3,6,,1,2,,1,,,,,,0,,,,,"O'Toole, Alice J",,,,,
CS,4384,002,5,1,2,3,,3,,2,2,3,,1,1,0,,,,,"Malik, Hemant","Wang, Yeqi",,,,
PSY,4344,001,3,9,2,1,5,,,1,,,,,2,0,,,,,"Ward, Felicia",,,,,
CHEM,5355,001,,13,,5,1,1,1,2,,,,,,0,,,,,"Zheng, Jie",,,,,
BIOL,2281,305,4,10,4,1,,3,1,,,,,,,0,,,,,"Hill, Brenna R","Xia, Jing",,,,
EERF,6395,001,,5,3,4,5,2,2,1,,,,,1,0,,,,,"Lehmann, Randall E","Li, Sen",,,,
PHIL,1301,HN1,,11,7,3,1,,,,1,,,,,0,,,,,"Bambach, Charles",,,,,
BIOL,2281,310,3,5,9,2,3,,1,,,,,,,0,,,,,"Mehta, Iti","Ratevosyan, Richard",,,,
MKT,6301,CW1,,23,,,,,,,,,,,,0,,,,,"Munch, James",,,,,
PSY,4359,001,1,3,5,1,4,2,3,,,1,1,,2,0,,,,,"Rodrigue, Karen M","Gonen, Chen",,,,
MIS,6204,591,,9,2,4,5,,1,,,,,,2,0,,,,,"Hefley, William E","Ozdemir, Dicle Yagmur",,,,
MECH,2120,105,7,3,5,5,2,,,,,,,,1,0,,,,,"Minary-Jolandan, Majid","Feng, Cheng",,,,
SOC,1301,HN1,5,16,2,,,,,,,,,,,0,,,,,"Skaggs, Sheryl L","Burger, Charis M",,,,
BIOL,2281,801,1,1,7,,4,4,2,,2,1,,,1,0,,,,,"Mehta, Iti","Ratevosyan, Richard",,,,
PSY,3393,003,9,8,5,1,,,,,,,,,,0,,,,,"Schwark, Gayle","Parsons, Julie A",,,,
BUAN,6357,501,,7,4,6,4,2,,,,,,,,0,,,,,"Chatterjee, Sourav","Mittal, Piyush",,,,
OPRE,6362,0W2,,6,7,3,4,3,,,,,,,,0,,,,,"Alborz, Shawn","Wang, Hao",,,,
GEOG,3370,501,1,4,4,3,3,2,1,2,,,2,,1,0,,,,,"Vakulenko, Irina","Venigalla, Lasya",,,,
COMM,1311,501,3,9,4,4,1,1,1,,,,,,,0,,,,,"Skiles, Bradley W",,,,,
BIOL,2281,309,1,5,4,5,2,4,1,1,,,,,,0,,,,,"Lin, Wen J","Xia, Jing",,,,
BIOL,2281,314,2,3,7,5,1,2,,2,1,,,,,0,,,,,"Mehta, Iti","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,
CHEM,2128,HN1,16,6,1,,,,,,,,,,,0,,,,,"Thompson, Christina M","Hernandez, Jayoh A",,,,
BIOL,2281,303,1,1,5,5,3,4,,3,1,,,,,0,,,,,"Pickett, Elizabeth A","Easterwood, Shayne",,,,
ED,4358,0W1,7,6,2,,4,1,,2,,,,,1,0,,,,,"Root, Alexey",,,,,
MIS,6316,0W1,,8,4,4,2,4,,,,,,,1,0,,,,,"Menon, Syam","Kumar, Jitendra",,,,
BIOL,3102,005,,2,3,2,4,4,3,4,,1,,,,0,,,,,"Sarcar, Subha N",,,,,
CS,3354,501,,4,4,4,6,4,1,,,,,,,0,,,,,"Christiansen, Michael G","Torabi, Behnam",,,,
EESC,6352,001,,4,4,9,3,3,,,,,,,,0,,,,,"Minn, Hlaing","Abdelgelil, Mahmoud E",,,,
BIOL,2281,315,,3,3,4,3,4,,,2,,,,4,0,,,,,"Adams, Hannah M","Moore, Dalton E",,,,
CHEM,3362,001,,3,2,6,3,,1,1,1,1,3,,2,0,,,,,"Candas, Mehmet","Reitzer, Lawrence","McDill, Parker M","Sudarshan, Sushmita","Daescu, Kelly J","Song, Ming"
ATCM,4395,502,,10,,1,6,,3,1,2,,,,,0,,,,,"Stewart, Michael C","Owens, Samantha L",,,,
BPS,6360,501,,11,5,2,5,,,,,,,,,0,,,,,"Hicks, Jeffrey N",,,,,
BIOL,2281,307,1,4,4,2,6,2,,2,,1,,,1,0,,,,,"Lin, Wen J","Gadhvi, Jashkaran G",,,,
MATH,2414,022,2,1,1,1,1,1,3,6,2,1,,1,3,0,,,,,"Rice, David",,,,,
BMEN,3399,002,3,2,3,1,,,2,4,2,1,1,1,3,0,,,,,"Meyer, Clark A","Rabe, Kaitlin G",,,,
CHEM,2125,112,14,,8,,1,,,,,,,,,0,,,,,"Tran, Daniel N","Tajik Asl, Masoumeh",,,,
MECH,2120,104,2,5,12,3,1,,,,,,,,,0,,,,,"Minary-Jolandan, Majid","Cao, Dongyang",,,,
BIOL,4380,303,,4,3,6,4,,1,2,1,1,,,1,0,,,,,"Borovkov, Irina G","Devaki, Bharath",,,,
IMS,6204,PS1,,6,1,8,5,2,1,,,,,,,0,,,,,"Dalgic, Tevfik",,,,,
BIOL,2281,304,5,2,4,1,6,2,1,,1,1,,,,0,,,,,"Lin, Wen J","Buyukkahraman, Gozde",,,,
BIOL,3520,001,,,,,,,,,,,,,,0,,,,,"Mehta, Iti",,,,,
MATH,2419,398,,,,,,,,,,,,,,0,,,,,"Ramakrishna, Viswanath",,,,,
MATH,2413,320,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,
MATH,2419,314,,,,,,,,,,,,,,0,,,,,"Eydelzon, Anatoly",,,,,
ATCM,2300,203,,,,,,,,,,,,,,0,,,,,"Balsamo, Anne","Bell, Elizabeth A","Paiva Homsi, Murilo",,,
EE,1202,003,2,4,1,1,2,2,2,1,1,,1,,3,4,,,,,"Cogan, Diana L",,,,,
PSY,3393,004,,15,,1,3,,,,,,2,,,3,,,,,"Dowling, Walter J","Gunal, Mehmet",,,,
ATCM,4397,001,,14,,,8,,,,,,,,,0,,,,,"Lester, Paul",,,,,
COMM,1311,014,7,5,3,,,1,1,4,,,1,,,2,,,,,"Krishnaswamy, Nandini",,,,,
COMM,1311,504,1,3,9,1,3,2,1,1,1,,,,,2,,,,,"Juarez, Veronica",,,,,
MECH,2120,106,5,8,3,2,1,1,,,,,1,,1,2,,,,,"Minary-Jolandan, Majid","Feng, Cheng",,,,
COMM,1311,0W2,5,4,7,,2,1,1,,,,,,2,2,,,,,"Templeton, Allison A",,,,,
DANC,2321,001,7,5,3,1,1,1,,2,1,,,,1,2,,,,,"Hanlon, Michele J",,,,,
CLDP,3339,001,,7,3,,2,1,,4,1,,,,4,1,,,,,"Huxtable-Jester, Karen J",,,,,
COMM,1311,002,,5,3,3,3,3,2,,1,,,,2,2,,,,,"Baker, Barbara L",,,,,
GISC,4386,001,4,2,,3,3,3,2,2,,,,,4,1,,,,,"Cummings, Anthony R","Liau, Yan-Ting",,,,
MECH,2120,102,13,7,1,1,,1,,,,,,,,1,,,,,"Minary-Jolandan, Majid","Zhang, Runyu",,,,
ATCM,2320,001,,1,5,4,8,1,2,1,,,,,1,1,,,,,"Imaoka, Laura",,,,,
GEOS,2409,001,,,,,1,3,12,,3,,1,1,2,1,,,,,"Manton, William I",,,,,
FIN,4340,001,,4,4,8,4,3,,,,,,,,1,,,,,"Zhao, Feng","Lee, Pil-Seng",,,,
COMM,1311,010,11,2,6,1,1,,,,,,1,,1,1,,,,,"Moss, Daniel J",,,,,
EPPS,7304,501,,17,5,1,,,,,,,,,,1,,,,,"Palao Mendizabal, Agustin",,,,,
COMM,1311,006,3,13,3,3,1,,,,,,,,,1,,,,,"Totusek, Patricia F",,,,,
CE,3301,501,,4,,,6,,,10,,,1,,2,1,,,,,"Pitz, Jeanne","Taherkhani, Nima","Kumar, Saurabh","Nourmohamadi, Hesam",,
EPPS,7371,001,,16,5,2,,,,,,,,,,0,,,,,"Clarke, Harold D",,,,,
HLTH,4380,0W2,,4,2,1,1,2,5,1,1,1,1,2,2,1,,,,,"Isham, Stephanie",,,,,
PSY,3355,001,4,1,,4,8,,3,1,,,,,2,1,,,,,"Grohman, Magdalena G",,,,,
COMM,1311,503,2,10,2,1,2,1,,,,1,1,1,2,1,,,,,"Juarez, Veronica",,,,,
MKT,3330,501,4,8,2,,3,2,1,1,1,,,,1,0,,1,,,"Gafford, Jerome M",,,,,
COMM,1315,0H1,13,4,2,1,,,,1,,,,,2,1,,,,,"Saenz, Michael A",,,,,
MECH,4110,103,6,4,3,7,1,1,,,,,,,1,1,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,
MATH,2417,004,1,,1,1,,1,4,2,1,1,3,,8,1,,,,,"Ahsan, Mohammad K",,,,,
COMM,1311,001,,1,5,2,6,4,3,1,,,2,,,0,,,,,"Baker, Barbara L",,,,,
SE,3341,004,8,1,1,3,,1,2,1,2,1,1,2,1,0,,,,,"Whalen, Tristan G","Lutz, Kevin C",,,,
BIOL,3102,004,2,3,4,2,1,3,1,2,4,1,1,,,0,,,,,"Srikanth, Uma",,,,,
MECH,4110,102,,5,12,5,1,,1,,,,,,,0,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,
ACCT,6365,501,,1,6,9,3,2,2,1,,,,,,0,,,,,"Cheng, Samuel","Nguyen, Kevin K",,,,
ATCM,3372,002,7,1,5,1,5,,1,2,,,,,2,0,,,,,"Fitzgerald, Harold E",,,,,
MECH,2120,101,14,2,4,1,,,,,,,,,3,0,,,,,"Minary-Jolandan, Majid","Bian, Ning",,,,
CHEM,2125,604,7,9,8,,,,,,,,,,,0,,,,,"Wijenayake, Sumudu N","Siddiki, A K M Nur Alam",,,,
COMM,1311,008,17,4,1,1,,,,1,,,,,,0,,,,,"Vazzi, Lisa",,,,,
OB,6337,CH1,,13,5,2,3,1,,,,,,,,0,,,,,"Latham, Van M","Behrendt, William",,,,
FIN,6310,SS1,,5,13,5,,,,1,,,,,,0,,,,,"Zhang, Huibing",,,,,
MATH,2419,HN1,8,15,,1,,,,,,,,,,0,,,,,"Ramakrishna, Viswanath","Yu, Shi",,,,
EE,3310,002,2,3,3,2,2,2,3,3,3,,1,,,0,,,,,"Coleman, James J","Chen, Jianfei",,,,
COMM,1311,011,21,2,,1,,,,,,,,,,0,,,,,"Moss, Daniel J",,,,,
BIOL,4380,304,1,4,3,6,1,,3,3,1,,1,,1,0,,,,,"Borovkov, Irina G","Brathaban, Nivetha",,,,
FIN,6392,SS1,,6,6,5,7,,,,,,,,,0,,,,,"Li, Jun",,,,,
COMM,1311,012,20,2,,,1,1,,,,,,,,0,,,,,"Tanner, Lari J",,,,,
ITSS,3100,001,7,5,,3,4,2,,2,,,,,1,0,,,,,"Newcomb, Rebecca G",,,,,
EE,4389,003,2,14,1,5,1,,1,,,,,,,0,,,,,"Tacca, Marco",,,,,
COMM,1311,009,19,,,1,2,,,,,,,,2,0,,,,,"Hanson, Jocyln Y",,,,,
LIT,2331,001,14,5,1,,2,,,2,,,,,,0,,,,,"Boyer, Kent L",,,,,
EERF,6330,001,,4,4,4,7,5,,,,,,,,0,,,,,Kenneth,"Ghosh, Suprovo",,,,
ED,4363,001,,4,6,3,8,2,,,1,,,,,0,,,,,"Leek, Patricia A",,,,,
COMM,1311,0W4,11,3,5,1,2,1,,,,,,,1,0,,,,,"Tanner, Lari J",,,,,
FIN,6350,SS1,,6,5,2,4,2,2,3,,,,,,0,,,,,"Baranchuk, Nina",,,,,
CE,3320,001,3,1,2,,3,5,5,1,1,,,,3,0,,,,,"Bhatia, Dinesh","Shahshahani, Masoud",,,,
ACCT,6380,501,,5,4,7,5,3,,,,,,,,0,,,,,"Mauriello, Joseph A","Braughton, Caleb M","Wong, Angie M",,,
ECON,3310,002,4,2,1,1,2,4,4,2,1,,,,3,0,,,,,"Hedlund, Jonas","Zhang, Jinglun",,,,
COMM,1311,5H1,4,8,6,1,,,,1,1,,,1,2,0,,,,,"Skiles, Bradley W",,,,,
CE,3311,002,1,5,2,3,5,,,2,2,2,1,,1,0,,,,,"Liu, Jin","Xiong, Jiu",,,,
FIN,6314,SS1,,3,5,7,8,1,,,,,,,,0,,,,,"Zhao, Feng","Lee, Pil-Seng",,,,
CS,4341,HON,1,5,6,4,2,2,1,,1,,1,,1,0,,,,,"Page, Ivor","Kong, Zelun",,,,
OB,6338,CH1,,16,4,2,1,1,,,,,,,,0,,,,,"Behrendt, William","Rentschler, Margaret F",,,,
ED,4352,002,,6,6,3,6,1,,2,,,,,,0,,,,,"McNulty, Angela B",,,,,
GOVT,2306,HN2,,18,6,,,,,,,,,,,0,,,,,"Elliott, Euel W","Scotch, Richard","Latiolais, Jasmine R","Johnson, Sara K",,
COMM,1311,007,14,3,4,2,,,,,,,,,1,0,,,,,"Hanson, Jocyln Y",,,,,
ACCT,6305,0W1,,3,5,8,5,2,,1,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,
BIOL,3520,301,5,8,4,4,2,1,,,,,,,,0,,,,,"Mehta, Iti","Ebrahimzadeh Pirshahid, Tahmineh","Dahl, Haley C","Rajendran, Divya","Avadhanam, Nymisha",
STAT,5353,001,,10,4,2,1,1,3,3,,,,,,0,,,,,"Chiou, Sy Han","Alfaro, Jose F",,,,
CLDP,3394,001,,16,,,8,,,,,,,,,0,,,,,"Grant, Meridith G",,,,,
MECH,4110,104,,17,6,1,,,,,,,,,,0,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,
COMM,1311,004,5,9,4,1,,2,1,,1,,1,,,0,,,,,"Arnold, Bob",,,,,
COMM,1311,013,7,4,4,1,1,1,2,1,,1,1,,1,0,,,,,"Krishnaswamy, Nandini",,,,,
ACCT,6202,501,,7,3,4,4,4,1,1,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,
MECH,2120,103,3,12,4,2,,3,,,,,,,,0,,,,,"Minary-Jolandan, Majid","Chen, Huiluo",,,,
MIS,6356,501,,5,6,9,3,,1,,,,,,,0,,,,,"Parker, Jason A","Mathur, Nitish","Parla, Karthik Reddy",,,
MECH,4110,101,1,9,6,5,2,1,,,,,,,,0,,,,,"Li, Yaoyu","Kumar, Devesh","Wu, Zhongyou","Li, Changyuan",,
COMM,1311,003,11,5,4,1,,1,1,,,,,,1,0,,,,,"Totusek, Patricia F",,,,,
BMEN,3370,001,2,8,4,2,7,1,,,,,,,,0,,,,,"Polk, Todd W","Lam, Danny V",,,,
HMGT,6327,501,,18,5,,1,,,,,,,,,0,,,,,"Dick, Rhonda",,,,,
COMM,1311,005,6,7,8,1,2,,,,,,,,,0,,,,,"Arnold, Bob",,,,,
BUAN,6341,003,,7,5,3,5,3,,1,,,,,,0,,,,,"Sabir, Muhammad F","Sandilya, Nimish K",,,,
MATH,2419,307,,,,,,,,,,,,,,0,,,,,"Eydelzon, Anatoly",,,,,
ATCM,2300,201,,,,,,,,,,,,,,0,,,,,"Balsamo, Anne","Bell, Elizabeth A","Wilson, David N",,,
ATCM,2300,206,,,,,,,,,,,,,,0,,,,,"Balsamo, Anne","Bell, Elizabeth A","Remington, William A",,,
LIT,2331,002,4,6,3,4,1,2,,,,,,,1,4,,,,,"Hunt, Shamim",,,,,
OPRE,6303,0W1,,9,4,4,,,,1,,,,,3,4,,,,,"Sethi, Awanti","Sethi, Shravik P",,,,
MATH,6309,001,,8,6,2,4,1,,1,,,,,,3,,,,,"Tran, Anh T",,,,,
ATCM,3308,002,,,4,1,2,2,2,2,,,3,3,3,3,,,,,"Johnson, Casey A",,,,,
CHEM,4335,001,3,3,7,2,4,1,2,,,,,,,2,,,,,"Yang, Duck J",,,,,
BIOL,3161,002,5,2,1,2,,2,,1,1,3,2,2,2,2,,,,,"Marsh, Robert",,,,,
PHYS,5320,001,,8,,,14,,,1,,,,,,0,,2,,,"Anderson, Phillip C","Zewdie, Gebreab K",,,,
LIT,3316,HN1,2,4,12,3,,1,,1,,,,,,0,2,,,,"Gossin, Pamela","Hairston, Marc R",,,,
BIOL,3161,005,1,5,1,1,2,3,3,2,,1,,3,1,2,,,,,"Taylor, Stephanie M",,,,,
HIST,3301,001,,2,5,3,3,6,1,2,1,,,,,2,,,,,"Farmer, J Michael","Admiral, Rosemary","Dunham, Daniel C",,,
BPS,4305,007,,1,,2,6,4,5,3,,1,1,,,2,,,,,"Levine, Sheen S","Liao, Xin",,,,
FIN,6368,001,,6,9,7,2,,,,,,,,,1,,,,,"Ma, Liping","Guo, Shujian",,,,
LIT,2331,501,,11,4,2,2,,1,2,,,,,2,1,,,,,"Stout, Patricia J",,,,,
PA,4340,001,,9,5,3,5,2,,,,,,,,0,,1,,,"Kiel, Lowell D",,,,,
CHEM,1111,106,8,9,,1,1,1,,,2,,,,2,1,,,,,"Hashami, Zohreh","Shahrivarkevishahi, Arezoo",,,,
ATCM,3346,001,1,8,12,3,,,,,,,,,,1,,,,,"Marks, David E",,,,,
MKT,6301,AW1,,24,,,,,,,,,,,,1,,,,,"Munch, James",,,,,
CE,3301,002,,1,3,2,4,2,3,4,3,,,,2,1,,,,,"Chiu, Yun",,,,,
PSY,4377,001,8,13,2,,1,,,,,,,,,0,,1,,,"Stilwell, John Q",,,,,
LIT,2331,003,1,12,6,3,,1,1,,,,,,,1,,,,,"Siddiqui, Farah",,,,,
MATH,4355,501,9,5,5,,1,2,,1,,,,,1,1,,,,,"Ramakrishna, Viswanath","Bal, Sabindra Singh",,,,
ENTP,4311,001,,10,,,9,,,6,,,,,,0,,,,,"Shah, Rajiv","Wang, Congying",,,,
FIN,4390,001,,25,,,,,,,,,,,,0,,,,,"Manzi, Jeff","Treece, Gregory A",,,,
MECH,6341,001,,9,12,3,1,,,,,,,,,0,,,,,"Hu, Wenchuang","Liu, Jinbo",,,,
OPRE,6302,XS1,,2,15,8,,,,,,,,,,0,,,,,"Hassanzadeh, Nozar",,,,,
OPRE,6371,0W1,,4,9,4,4,2,,2,,,,,,0,,,,,"Katok, Elena M","Bothra, Shreyansh Arunkumar",,,,
NSC,3361,HN1,4,17,2,2,,,,,,,,,,0,,,,,"LaDow, Eva S",,,,,
EE,3301,002,,2,,5,2,2,5,5,2,,,,2,0,,,,,"Chiu, Yun",,,,,
PSY,2301,HN2,10,11,2,1,,1,,,,,,,,0,,,,,"Devdas, Neetha R",,,,,
GOVT,2306,HN1,2,5,11,6,1,,,,,,,,,0,,,,,"Dow, Douglas C",,,,,
CGS,3342,501,3,9,8,2,1,2,,,,,,,,0,,,,,"Golden, Richard","Ryland, James W",,,,
FIN,6330,501,,7,8,8,2,,,,,,,,,0,,,,,"Hyndman, Kyle B",,,,,
NSC,4352,HN1,8,11,3,3,,,,,,,,,,0,,,,,"LaDow, Eva S",,,,,
MECO,6303,XS1,,5,10,3,3,4,,,,,,,,0,,,,,"Kiser, Stephen L",,,,,
HUMA,1301,HN1,1,22,1,1,,,,,,,,,,0,,,,,"Towner, Theresa",,,,,
ACN,6395,001,,9,,,14,,,2,,,,,,0,,,,,"Wig, Gagandeep S",,,,,
MIS,6204,XS1,,24,,,1,,,,,,,,,0,,,,,"Nietubicz, Richard A",,,,,
MECH,6367,001,,21,2,1,,,,1,,,,,,0,,,,,"Qian, Dong","Wang, Yang",,,,
NSC,3361,HN2,2,12,7,3,,,,1,,,,,,0,,,,,"Rodriguez, Christa M",,,,,
ACCT,6202,XS1,,22,,,3,,,,,,,,,0,,,,,"Sadka, Gil","Fan, Zhongwen","Chu, Yu Fang",,,
BIOL,3101,004,,2,1,1,1,9,4,6,,,,1,,0,,,,,"Dejong, Jeff L",,,,,
PSY,2301,HN1,12,12,1,,,,,,,,,,,0,,,,,"Gentsch, Joanna K",,,,,
ACCT,4336,001,2,3,6,2,3,6,1,1,1,,,,,0,,,,,"Bowen, Richard M","Walker, Jacob N",,,,
RMIS,4332,501,1,6,2,7,2,4,2,1,,,,,,0,,,,,"Richardson, Debra L",,,,,
ATCM,4310,001,1,7,6,6,1,2,1,,,,,,1,0,,,,,"Kitagawa, Midori",,,,,
MATH,2420,305,,,,,,,,,,,,,,0,,,,,"Krawcewicz, Wieslaw Z",,,,,
ATCM,2300,202,,,,,,,,,,,,,,0,,,,,"Balsamo, Anne","Bell, Elizabeth A","Ferreira de Souza, Leticia",,,
CHEM,3472,002,,2,5,3,3,1,2,,,2,1,,3,4,,,,,"Qin, Yanping","Castro, Fabian","Lumata, Jenica","Wunch, Melissa A",,
CS,4337,002,1,2,3,3,4,1,1,2,,1,1,1,2,4,,,,,"Min, Richard K","Varanasi, Sarat Chandra",,,,
BIS,3320,003,,4,,3,3,,1,4,1,,1,,5,4,,,,,"Wissinger, Tonja",,,,,
MATH,1326,012,4,,3,3,1,1,1,4,1,1,1,,3,3,,,,,"Mussa, Derege",,,,,
CHEM,1112,128,6,9,,2,2,,2,,1,,1,,1,2,,,,,"Dissanayake, Dushanthi S","Morakabi, Katayoun",,,,
COMM,3342,001,2,15,2,2,1,1,1,,,,,,,0,,,,,"Totusek, Patricia F",,,,,
BIOL,3102,003,1,3,3,3,,1,6,2,1,2,2,,,2,,,,,"Sarcar, Subha N",,,,,
ACCT,6332,501,,11,,,8,,,5,,,,,1,0,,1,,,"Zolton, Kathy","Anwer, Jordan J",,,,
FIN,3360,001,,3,4,4,4,5,1,3,,,,,1,1,,,,,"Park, Haemin","Wang, Jiyu",,,,
CHEM,1112,115,,,9,3,6,3,1,1,2,,,,,0,,1,,,"Namal Arachchilage, Chamni U","Graham, Robert L",,,,
PSCI,4307,001,,6,9,6,2,,,1,,,,,1,1,,,,,"Brandt, Patrick","Lux, Ryan J",,,,
CE,3302,501,2,2,1,1,1,3,4,4,1,,3,,3,1,,,,,"Park, Jae Mo","Vankayalapati, Bhanu Teja","Wang, Zhengyang",,,
HLTH,1322,0W2,,7,6,2,2,3,2,,,,2,,1,1,,,,,"Day, Lora N",,,,,
MATH,1326,004,1,2,2,1,3,2,3,3,,3,2,,3,1,,,,,"Mussa, Derege",,,,,
CHEM,3472,003,,1,5,,5,1,2,3,1,,1,2,4,1,,,,,"Qin, Yanping","Castro, Fabian","Lumata, Jenica","Wunch, Melissa A",,
OB,6332,0W1,,17,1,2,5,,1,,,,,,,0,,,,,"Ziegler, Laurie","Wijewardana, Galuge Hansani M",,,,
ATCM,4395,501,,2,9,8,2,1,,1,2,,,,1,0,,,,,"Bennett, Jessica B","Enam, Victor J",,,,
LIT,3332,501,8,4,2,4,2,,1,3,1,,,,1,0,,,,,"Lambert, Thomas M",,,,,
CS,6349,001,,19,6,,1,,,,,,,,,0,,,,,"Hao, Shuang","Karki, Dipendra",,,,
ECON,4320,001,5,6,3,4,1,2,2,1,1,,,,1,0,,,,,"Giertz, Seth","Ramezani, Rasoul",,,,
PSY,3362,001,3,3,,1,11,1,,5,,,1,1,,0,,,,,"Mills, Candice M","Pattisapu, Candice N",,,,
BCOM,3100,002,14,3,3,1,3,,2,,,,,,,0,,,,,"Watson, John M",,,,,
MECH,6347,501,,6,,6,8,3,3,,,,,,,0,,,,,"Pourkamali, Siavash","Abbasalipour, Amin",,,,
FIN,3305,002,2,5,,,10,2,,3,2,,2,,,0,,,,,"Guttery, Randall",,,,,
EPPS,2302,002,6,4,2,1,2,4,,1,1,,,,5,0,,,,,"Kim, Dohyeong","Hubbard, Sean P",,,,
