Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"O'Brien, Daniel M",,,,,,ECON,6305,501,,19,,3,2,,,,,,,,,,,,,,0
"Li, Dong","Hou, Aoyu",,,,,ECON,7309,001,,6,8,6,1,,,,,,,,,,,,,,0
"Gorina, Evgenia","Abraham, Romeo",,,,,EPPS,6313,501,,7,1,,2,7,,,,,,,2,,,,,,2
"Kim, Dohyeong","Zaychik, Danielle",,,,,EPPS,7313,501,,10,2,1,3,2,,,,,,,,,,,,,3
"Arce, Daniel G","Griffie, Vernicia A",,,,,ECON,2302,002,5,31,5,12,21,11,11,19,13,,8,5,16,,,,,,7
"Cummings, Anthony R","Karale, Yogita Y",,,,,GEOG,2302,001,1,1,3,1,5,4,,1,,,,,1,,,,,,0
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3321,0W1,3,15,17,8,8,8,3,3,1,,1,,,,,,,,0
"Cheun, Jacquelyn J",,,,,,SOC,4372,001,15,23,1,4,7,1,,1,1,2,,,,,,,,,1
"Tiefelsdorf, Michael","Pu, Xiaojun",,,,,ECON,6306,001,,4,6,6,6,1,4,,,,,,1,,,,,,1
"Dumas, Lloyd",,,,,,ECON,6352,501,,1,2,3,1,,,1,,,,,,,,,,,0
"Miller, Banks",,,,,,PSCI,6311,501,,6,7,3,,,,,,,,,1,,,,,,3
"Chin, Michelle L","Harpham, Edward",,,,,PSCI,4370,HN1,41,7,,,,,,,,,,,,,,,,,0
"Daly, John A","Harpham, Edward",,,,,PSCI,4372,HN1,,48,,,,,,,,,,,,,,,,,0
"Swerdlow, Joel L","Chin, Michelle L",,,,,PSCI,4373,HN1,,48,,,,,,,,,,,,,,,,,0
"Kamau, Casper",,,,,,GOVT,2107,0W1,16,4,,,,,,1,,1,,,1,,,,,,0
"Vakulenko, Irina","Shah, Muna",,,,,PA,3377,001,,1,6,4,3,1,,1,,,,,,,,,,,1
"Scotch, Richard",,,,,,SOC,6350,001,,6,,,2,,,,,,,,1,,,,,,0
"Ketsler, Luba",,,,,,ECON,2301,003,2,17,10,8,35,9,8,33,4,2,6,2,9,,,,,,0
"Leblebicioglu, Asli",,,,,,ECON,6302,001,,2,3,3,2,,2,1,,,,,,,,,,,0
"Harrington, James",,,,,,PA,7330,001,,5,2,,,,,,,,,,2,,,,,,1
"Boots, Denise P","Hayslip, Melissa P","Shuraydi, Amny",,,,CRIM,6300,5W1,,11,3,1,1,,,,,,,,,,,,,,0
"Dutia, Anahita A",,,,,,PSCI,4V67,HN1,12,,,,,,,,,,,,,,,,,,0
"Seldon, Barry J",,,,,,ECON,5321,001,,8,4,1,,,,,,,,,,,,,,,0
"Harrington, James",,,,,,EPPS,6316,501,,9,2,,5,2,1,1,,,,,,,,,,,0
"Andrews, Rodney J",,,,,,ECON,3310,002,7,7,,2,6,1,,3,1,,,1,4,,,,,,2
"Scotch, Richard",,,,,,SOC,4372,HN1,14,9,,,,,,,,,,,,,,,,,0
"Kovandzic, Tomislav","Sanford, Stephanie M",,,,,CRIM,3323,001,2,10,4,1,19,4,4,14,2,,4,1,1,,,,,,2
"Giertz, Seth","Nguyen, Hien T",,,,,ECON,4320,001,4,6,9,8,2,1,1,,,1,,,,,,,,,0
"Chastain, Bryan J","Yu, Xiaohe",,,,,GISC,4317,501,,4,1,,2,2,,1,,,,,,,,,,,0
"Benavides, Teodoro J",,,,,,PA,6321,501,,23,,,4,,,,,,,,,,,,,,0
"Chordiya, Rashmi V",,,,,,PA,3380,0W1,16,10,2,2,2,3,,1,,,,,3,,,,,,1
"Laprade, Jennifer M",,,,,,CRIM,1307,002,14,11,9,6,9,,2,2,,,,,3,,,,,,4
"Dumas, Lloyd",,,,,,IPEC,3349,HN1,,2,5,3,3,1,,,1,,,,,,,,,,2
"Gray, Thomas","Lux, Ryan J","Okyere, Dennis K",,,,GOVT,2305,003,5,20,19,17,48,31,19,26,14,7,11,4,18,,,,,,9
"Larue, Patrick","Emmanuel, Nichael","Gutierrez Mannix, Carlos Daniel",,,,GOVT,2305,001,1,6,12,6,11,7,8,11,9,4,8,1,8,,,,,,1
"Larue, Patrick","Gutierrez Mannix, Carlos Daniel","Emmanuel, Nichael",,,,GOVT,2305,002,2,13,20,26,27,19,12,15,4,8,13,7,8,,,,,,2
"Koo, Hyeongmo",,,,,,GISC,4326,001,3,,4,1,2,,,,,,,,,,,,,,0
"Cummings, Anthony R","Karale, Yogita Y",,,,,ENVR,2302,001,2,,3,3,4,,1,1,2,,1,,,,,,,,0
"Aiken, Carlos",,,,,,GISC,5324,501,,9,2,,,,,,,,,,,,,,,,0
"Davis, Stephanie","Hoffman, Blake M","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2306,001,117,42,32,24,15,21,17,9,8,4,,1,8,,,,,,2
"Dow, Douglas C",,,,,,GOVT,2306,HN1,4,8,9,6,,,,,,,,,,,,,,,0
"Maskaly, Jonathan","Hernandez, Richard",,,,,CRIM,2313,501,8,,3,1,3,2,4,,2,1,2,,1,,,,,,2
"McKay, Brian",,,,,,CRIM,2317,501,1,2,4,5,3,1,2,1,2,1,1,,,,,,,,0
"Powell, Zachary A",,,,,,CRIM,3310,001,,11,4,5,6,1,2,4,2,,2,1,5,,,,,,1
"Jacobs, Bruce A",,,,,,CRIM,3326,001,,8,5,3,1,,,1,1,1,,,,,,,,,0
"Yang, Shuo",,,,,,ECON,2302,003,,4,2,3,3,3,2,,,,3,,1,,,,,,1
"Bray, Timothy M","Shih, Meng Ru",,,,,EPPS,7313,001,,3,2,1,1,,,,,,,,,,,,,,0
"Dell, Brent",,,,,,GISC,2305,001,1,5,2,3,1,,1,,,,,,,,,,,,0
"Lee, Monghyeon",,,,,,GISC,3304,001,9,3,,,,,,,1,,,,,,,,,,0
"Lee, Monghyeon",,,,,,GEOG,3304,001,6,,1,,,1,1,,,,,,,,,,,,1
"Cummings, Anthony R","Karale, Yogita Y",,,,,GISC,6325,501,,18,11,1,2,2,,1,,,,,,,,,,,0
"Lowe, Evan","Das, Soham","Zengin, Abdullah Furkan",,,,GOVT,2306,002,7,8,18,10,4,12,6,8,7,6,2,7,8,,,,,,6
"Lee, Young-Joo",,,,,,PA,4355,001,4,6,9,5,2,5,,,1,,,,1,,,,,,1
"Sabharwal, Meghna",,,,,,PA,6320,0W1,,14,,,3,,,,,,,,1,,,,,,0
"McCaskill, John R",,,,,,PA,6399,501,,11,,,,,,,,,,,,,,,,,0
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4369,001,15,15,22,8,4,6,,1,,,1,1,,,1,,,,1
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4385,001,4,13,14,4,3,,1,1,2,,,,,,,,,,0
"Alexander, Bobby",,,,,,EPPS,6346,001,,10,,,,,,,,,,,,,,,,,1
"Cheun, Jacquelyn J",,,,,,EPPS,2301,001,18,42,,6,7,,,1,1,,1,,2,,,,,,1
"Min, Soojin",,,,,,EPPS,2302,001,6,3,6,6,2,2,,1,,,,,1,,,,,,3
"Suh, Ji Won",,,,,,PA,3306,001,6,2,4,2,6,,,,,,,,,,,,,,0
"Harpham, Edward",,,,,,GOVT,2306,HN2,1,16,5,2,1,1,,,,,,,,,,,,,0
"Dumas, Lloyd",,,,,,PPPE,6352,501,,2,2,3,2,,,,,,,,,,,,,,0
"Leaf, Murray J",,,,,,PPPE,6329,501,,5,7,,1,,,,,,,,1,,,,,,0
"Worrall, John L",,,,,,CRIM,7305,5H1,,6,1,,,,,,,,,,,,,,,,0
"Bunte, Jonas B",,,,,,PPPE,6301,501,,7,3,2,1,1,2,,,,,,2,,,,,,0
"Fass, Simon",,,,,,PPPE,6310,501,,1,5,10,6,1,,,,,,,2,,,,,,1
"Wunder, Timothy",,,,,,ECON,2302,0W1,,15,3,6,20,5,5,9,7,,8,,7,,,,,,2
"Connell, Nadine",,,,,,CRIM,6301,501,,2,4,3,5,5,,,,,,,,,,,,,0
"Cai, Xiang",,,,,,EPPS,2302,501,5,7,4,3,2,2,3,4,3,3,2,,9,,,,,,3
"Benavides, Teodoro J",,,,,,PA,6348,0W1,,6,,,,,,,,,,,,,,,,,0
"Gorina, Evgenia",,,,,,PA,7306,501,,3,2,2,,,,,,,,,,,,,,,0
"Skaggs, Sheryl L",,,,,,SOC,1301,HN1,21,4,,,,,,,,,,,,,,,,,0
"McElroy, Susan","Zhang, Licheng",,,,,ECON,3337,001,8,13,5,10,10,4,1,3,,,,,3,,,,,,0
"Arce, Daniel G",,,,,,ECON,4310,001,1,10,4,3,15,2,2,,,,,,,,,,,,1
"Li, Dong","Hou, Aoyu",,,,,ECON,4355,001,3,6,3,7,2,2,2,3,2,1,1,1,1,,,,,,1
"Siqueira, Kevin J",,,,,,ECON,7303,001,,2,3,2,1,,,,,,,,,,,,,,0
"Davis, Stephanie","Hoffman, Blake M","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2305,004,57,49,39,23,18,29,16,8,10,5,2,2,11,,,,,,2
"Davis, Stephanie","Hoffman, Blake M","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2306,003,111,37,33,15,27,31,9,11,9,4,1,4,1,,,,,,7
"Champagne, Anthony",,,,,,PSCI,3303,001,8,38,,,17,,,12,,,4,,3,,,,,,3
"Peinhardt, Clint W",,,,,,PSCI,4329,001,,8,7,6,12,7,3,4,,,3,,1,,,,,,0
"Maskaly, Jonathan","Hernandez, Richard",,,,,EPPS,6313,001,,10,2,3,,,1,1,,,,,,,,,,,0
"Dean, Denis J",,,,,,GISC,6379,001,,5,,,2,3,,,,,,,,,,,,,0
"Smith, Erin",,,,,,SOC,2300,001,,2,3,4,5,1,,,,,,,2,,,1,,,1
"Sabharwal, Meghna",,,,,,PA,2325,001,4,7,5,8,5,4,1,1,,,1,,2,,,,,,0
"Jacobs, Bruce A",,,,,,CRIM,6303,001,,2,5,1,,,,,,,,,,,,,,,0
"Beron, Kurt","Kwak, Jihun",,,,,ECON,6306,501,,10,,,5,2,,2,,,,,1,,,,,,0
"Lowry, Robert C","Endicott, Connor W","Sun, Zeyu",,,,PSCI,3325,001,6,18,14,9,16,7,3,5,1,2,1,3,6,,,,,,3
"Lowe, Evan","Das, Soham","Zengin, Abdullah Furkan",,,,GOVT,2306,004,28,26,45,33,29,34,14,23,20,10,9,13,14,,,,,,1
"Piquero, Alexis M",,,,,,CRIM,7300,001,,2,1,3,3,,,,,,,,,,,,,,0
"Wheeler, Andrew",,,,,,CRIM,7301,001,,10,,,,,,,,,,,,,,,,,0
"Kiel, Lowell D",,,,,,PA,4370,001,,5,3,,2,,2,,2,,,,1,,,,,,1
"Goodman, Doug",,,,,,PA,7320,001,,4,1,2,,,,,,,,,1,,,,,,0
"Kiser, Stephen L",,,,,,ECON,4342,501,4,2,6,,9,2,1,2,,,3,,,,,,,,0
"Kim, Kwang Soo",,,,,,ECON,2301,501,10,10,1,4,2,1,,,,,1,,,,,,,,2
"Si, Xia",,,,,,ECON,2301,502,,17,8,8,4,1,3,2,,,,,3,,,,,,2
"Ketsler, Luba",,,,,,ECON,3330,002,4,19,9,11,18,5,2,5,1,,,1,,,,,,,0
"Earle, Doric E",,,,,,ECON,3330,501,,3,7,5,11,1,1,,,,,,4,,,,,,0
"Siqueira, Kevin J",,,,,,ECON,4333,001,1,5,,1,,,2,,,1,2,1,1,,,,,,2
"Griffith, Daniel A",,,,,,GISC,6379,002,,,1,3,1,,,,,,,,,,,,,,2
"Giertz, Seth","Nguyen, Hien T",,,,,ECON,4302,001,,5,5,5,4,7,1,,,,,,,,,,,,0
"Larue, Patrick",,,,,,PSCI,3350,001,6,16,9,8,7,5,4,7,3,2,,1,2,,,,,,0
"Malek-Ahmadi, John H",,,,,,SOC,3342,0W1,7,33,,5,9,,,2,,,,,,,,,,,0
"Alexander, Bobby","Love-Hal, Jewell N",,,,,SOC,4388,001,12,21,6,3,1,,,,,,,,3,,,,,,1
"Elliott, Euel W","Latiolais, Jasmine R",,,,,GOVT,2306,PAC,,19,,,,,,,,,,,,,,,,,0
"De Olivares, Karen L",,,,,,SOC,3315,PAC,6,17,1,,,,,,,,,,,,,,,,0
"McCaskill, John R","Suh, Ji Won",,,,,PSCI,3310,001,,18,3,1,2,,1,2,1,,,,1,,,,,,0
"Maxwell, Sarah P",,,,,,PA,6387,0W1,,7,1,,,,,,,,,,,,,,,,1
"Lanham, Carol C",,,,,,EPPS,1110,001,,44,,,6,,,3,,,3,,4,,,,,,0
"Yuan, May",,,,,,GISC,4380,001,,1,5,,1,3,,,,,,,,,,,,,0
"Kiser, Stephen L",,,,,,ECON,3332,001,,4,13,1,5,,,,,,,,,,,,,,0
"Lanham, Carol C",,,,,,EPPS,1110,002,,35,,,6,,,7,,,3,,3,,,,,,0
"Seagroves, Tony A","Lazatin, Francis X",,,,,PSCI,4V66,501,10,12,1,,,,,,,,,,,,,,,,0
"Sutton, Kara L",,,,,,SOC,3305,001,3,5,2,3,,,,,,,,,,,,,,,0
"O'Brien, Daniel M","Yue, Wanwan",,,,,ECON,6306,502,,20,8,1,,,,,,,,,,,,,,,0
"Hernandez-Guerrero, Rodolfo",,,,,,PSCI,4331,501,,2,9,5,5,2,,2,,,,1,3,,,,,,1
"Kim, Alisha A",,,,,,EPPS,2301,002,,17,6,6,15,8,2,1,1,,1,,3,,,,,,0
"Elliott, Euel W","Rejepov, Vepa",,,,,GOVT,2306,008,,68,36,21,13,27,4,5,6,5,2,3,9,,,,,,9
"Winstead, Elizabeth L",,,,,,AMS,3316,001,16,7,5,3,,,,,,,,,,,,,,,0
"Hudson, Jennifer M",,,,,,BIS,3320,001,,7,12,3,,3,,,,,,,5,,,,,,2
"Pogue, Neall W",,,,,,BIS,3320,003,,4,4,5,7,5,,,,1,1,2,3,,,,,,2
"Wissinger, Tonja",,,,,,BIS,3320,002,,10,2,1,7,1,,4,1,,1,,2,,,,,,1
"Wright, David A",,,,,,BIS,3320,501,8,6,7,1,5,9,3,4,,,,,1,,,,,,1
"Fagg, Sharon",,,,,,ED,3314,001,18,11,4,1,,1,,,,,1,,,,,1,,,0
"Fagg, Sharon",,,,,,ED,3314,501,10,3,7,3,1,,,,,,,,1,,,,,,0
"Leek, Patricia A",,,,,,ED,3315,501,,3,,,2,1,,3,1,,,,,,,,,,0
"Nelson, Robert E",,,,,,ED,3339,501,8,21,12,5,1,,,,,,,,1,,,,,,0
"Haun, Julia T",,,,,,ED,3340,501,,4,3,1,3,1,2,3,2,,,,,,,,,,0
"McNulty, Angela B",,,,,,ED,3345,001,,8,2,,2,1,,,,,,,,,,,,,0
"McNulty, Angela B",,,,,,ED,3345,501,,3,4,4,3,,,,,,,,,,,,,,0
"Hart, Nicola",,,,,,ED,3380,501,5,6,1,,2,1,,1,,,,,1,,,,,,0
"Friedman, Meredith K",,,,,,ED,4343,501,3,7,1,1,,,,,,,,,,,,,,,0
"Haun, Julia T",,,,,,ED,4345,001,7,4,5,3,,,,,,,,,,,,,,,0
"McNulty, Angela B",,,,,,ED,4352,001,,8,6,2,6,4,1,1,,,,,1,,,,,,0
"Van, Nancy C","Leek, Patricia A",,,,,ED,4353,001,,13,4,,,,,,,,,,2,,,,,,1
"Chandler, Candice",,,,,,ED,4357,001,,3,,1,8,1,1,4,,,,,,,,,,,1
"Nix, Rebekah K",,,,,,ED,4372,0W1,13,5,,2,1,,,1,,,,,,,,,,,0
"Nix, Rebekah K",,,,,,ED,4372,0W2,6,3,,2,,,,2,,,,,,,,,,,1
"Jakobsson, Pia K",,,,,,GST,3302,001,1,1,4,1,1,3,,,,,1,,1,,,,,,0
"Day, Lora N",,,,,,HLTH,1322,0W1,,12,2,7,7,5,4,2,2,1,2,,4,,,,,,5
"Sandon, Lona",,,,,,HLTH,3101,0W1,,134,,,6,,,3,,,,,1,,,,,,4
"Gold, Terry",,,,,,PHIN,1120,001,,24,,,,,,,,,,,1,,,,,,1
"Gold, Terry",,,,,,PHIN,1120,002,,23,,,,,,,,,,,,,,,,,1
"Leek, Patricia A",,,,,,ED,3315,002,,4,5,2,,1,1,,,,,,,,,,,,0
"Chandler, Candice",,,,,,ED,4363,001,,6,,,4,1,,,,,1,,,,,,,,1
"Edwards, Christopher W","Henry, Loreen S",,,,,BIS,3190,0W1,21,4,2,,2,1,,,,,,,1,,,,,,1
"Byrnes, Kathleen A",,,,,,HLTH,3300,001,,3,13,20,26,14,8,9,8,1,3,,1,,,,,,2
"Byrnes, Kathleen A",,,,,,HLTH,3305,001,,2,10,14,14,5,4,3,5,2,,4,4,,,,,,4
"Rainey, Anthony D",,,,,,HLTH,4108,001,26,6,,,,,,,,,,,1,,,,,,0
"Wissinger, Tonja",,,,,,ISIS,3310,001,,14,1,2,3,2,,1,2,,,,3,,,,,,1
"Edwards, Christopher W","Mcallister, James T",,,,,BIS,3190,0W2,7,8,3,2,2,,2,2,2,,1,,1,,,,,,0
"Simpson, Carrie M",,,,,,BIS,4306,0W1,4,7,9,1,1,1,,,,,,2,2,,,,,,2
"Duquaine-Watson, Jill M",,,,,,HLTH,3310,001,6,16,15,11,7,3,5,2,1,1,4,,2,,,,,,1
"Winstead, Elizabeth L",,,,,,AMS,4304,001,9,8,4,1,1,2,,,1,,,,2,,,,,,0
"Mcallister, James T","Edwards, Christopher W",,,,,BIS,3190,0H1,1,4,2,2,2,2,2,1,1,2,,,2,,,,,,1
"Winstead, Elizabeth L",,,,,,AMS,4385,0W1,20,24,7,3,5,2,,,,,,,9,,,,,,0
"McNulty, Angela B",,,,,,ED,4352,501,,3,5,2,6,2,1,,,,,,,,,,,,0
"Sandon, Lona",,,,,,HLTH,3101,0W2,,133,,,10,,,1,,,,,2,,,,,,2
"Stark, Azadeh T",,,,,,HLTH,3305,002,4,12,13,10,2,8,5,2,2,,2,2,1,,,,,,0
"Baetge, Claire",,,,,,HLTH,1301,0W1,,12,5,5,4,1,,2,,,1,,2,,,,,,1
"Davis, Renee",,,,,,ED,4351,501,2,2,4,1,,2,,,,,,,,,,,,,0
"Edwards, Christopher W",,,,,,MAIS,5321,0W1,,6,1,,,,,,,,,,,,,,,,0
"Isham, Stephanie","Edwards, Christopher W",,,,,HLTH,4380,0W1,3,4,4,1,5,5,1,2,,1,1,,2,,,,,,1
"Isham, Stephanie","Edwards, Christopher W",,,,,HLTH,4380,0W2,,5,2,5,5,3,2,,5,,2,,1,,,,,,0
"Day, Lora N",,,,,,HLTH,1322,0W2,,2,2,1,6,,,2,,,1,,6,,,,,,0
"Van, Nancy C","Winstead, Elizabeth L",,,,,AMS,4300,001,9,3,,,,,,,1,,,,,,,,,,1
"Stark, Azadeh T",,,,,,HLTH,4305,001,1,7,6,13,6,2,6,4,1,,3,,1,,,,,,1
"Savard, Ryan R",,,,,,HLTH,4380,001,1,2,4,1,4,4,4,2,4,3,,,1,,,,,,1
"Werhnyak, Larissa",,,,,,BIS,1100,001,,30,4,3,1,3,1,,,,,,,,,,,,0
"Chizeck, Susan",,,,,,BIS,1100,002,7,19,,,3,1,,,,,,1,,,,,,,0
"Werhnyak, Larissa",,,,,,BIS,1100,003,,26,1,,,,,2,1,,,,,,,,,,0
"Winstead, Elizabeth L",,,,,,AMS,4327,001,14,7,3,,2,1,,1,,,,,2,,,,,,0
"McBride, Rachael L",,,,,,HLTH,1322,0W3,,21,4,11,5,4,4,2,1,,2,,1,,,,,,0
"Sandon, Lona",,,,,,HLTH,3101,0W3,,66,,,5,,,,,,,,1,,,,,,3
"Sandon, Lona",,,,,,HLTH,3101,0W4,,61,,,7,,,3,,,2,,1,,,,,,1
"Smith, Erin",,,,,,GST,2300,001,,4,3,,4,4,1,3,,,,,1,,,,,,0
"Ross, Alyssa N",,,,,,ED,4363,501,6,6,6,,1,1,,,,,,,,,,,,,1
"Prager, Karen",,,,,,GST,3301,001,,1,2,3,5,2,3,,,1,,,,,,,,,0
"Weiner, Michelle L",,,,,,ED,4345,501,,13,1,1,,,,,,,,,,,,,,,0
"Werhnyak, Larissa",,,,,,AMS,2341,001,,8,6,4,15,3,1,1,1,,,,7,,,,,,0
"Harpham, Edward",,,,,,HONS,3199,HN1,1,13,,,1,,,,,,,,,,,,,,0
"Dow, Douglas C",,,,,,HONS,3199,HN2,,11,,,,,,,,,,,,,,,,,0
"Prakash, Ravi",,,,,,HONS,3199,HN3,,14,1,,,,,,,,,,,,,,,,0
"LaDow, Eva S",,,,,,HONS,3199,HN4,5,8,1,,,,,,,,,,,,,,,,0
"Page, Ivor",,,,,,HONS,3199,HN6,10,5,,,,,,,,,,,,,,,,,0
"Brunell, Thomas","Seeligson, Michael B",,,,,HONS,3199,HN8,1,7,1,4,2,,,,,,,,,,,,,,0
"Kildebeck, Eric J",,,,,,HONS,3199,HN9,8,8,,,,,,,,,,,,,,,,,0
"Thompson, Christina M","Rippel, Scott A",,,,,HONS,3199,H11,4,11,,,,,,,,,,,,,,,,,0
"Thompson, Christina M",,,,,,HONS,3199,H12,3,8,2,1,,,,,,,,,,,,,,,0
"Connell, Nadine",,,,,,HONS,3199,H14,,13,2,,,,,,,,,,,,,,,,0
"Stefan, Mihaela C",,,,,,HONS,3199,H15,,13,,,,,,,,,,,,,,,,,0
"Braitsch, Caitlin M",,,,,,HONS,3199,H16,9,5,,,,,,,,,,,1,,,,,,0
"Towner, Theresa",,,,,,HONS,3199,H17,,12,1,,,,,,,,,,1,,,,,,0
"Kratz, Dennis M","Stone, Marvin J",,,,,HONS,3199,H18,,15,,,,,,,,,,,,,,,,,0
"Dogan, Kutsal","Chanda, Dipendu",,,,,MIS,6326,501,,27,7,13,10,3,,2,,,,,,,,,,,1
"Chasteen, Larry H","Jung, Young-Hoon",,,,,BPS,6310,0W1,,29,,10,6,,3,,,,,,,,,,,,1
"Dess, Gregory","Kim, Kyun",,,,,BPS,6332,501,,13,,,8,,,1,,,,,,,,,,,0
"Hicks, Jeffrey N",,,,,,BPS,6360,501,,20,9,3,1,,,,,,,,,,,,,,0
"Pedigo, Madison F",,,,,,ENTP,6315,001,,2,4,7,,,,,,,,,,,,,,,0
"Pedigo, Madison F",,,,,,FIN,6315,001,,3,2,7,2,1,,,,,,,,,,,,,1
"Kimzey, Jackie","Lu, Yanchen",,,,,ENTP,6370,501,,15,7,4,5,1,,,,,,,,,,,,,1
"Xiao, Steven","Kuang, Shimaoling",,,,,FIN,6301,502,,8,4,7,11,,,,,,,,,,,,,,0
"Day, Theodore",,,,,,FIN,6301,0W1,,7,2,2,8,1,,7,,,,,6,,,,,,3
"Ma, Liping","Kaur, Dupinderjeet",,,,,FIN,6306,001,,15,,,11,,,2,,,,,1,,,,,,1
"Ma, Liping","Kaur, Dupinderjeet",,,,,FIN,6306,501,,12,,,15,,,5,,,,,,,,,,,2
"Ma, Liping","Kaur, Dupinderjeet",,,,,FIN,6306,002,,8,,,10,,,5,,,,,,,,,,,1
"Lewin, Peter","Gandhi, Malav A",,,,,FIN,6308,0W1,,10,8,7,11,3,,1,,,,,2,,,,,,1
"Xu, Yexiao","Liu, Rui",,,,,FIN,6310,001,,6,2,1,1,1,,,,,,,,,,,,,0
"Xu, Yexiao","Liu, Rui",,,,,FIN,6310,501,,5,1,6,2,3,,,,,,,,,,,,,1
"Fleming, Forney F","Vasquez, Paula A",,,,,HMGT,6320,501,,37,13,5,,,,,,,,,1,,,,,,1
"Lewin, Peter","Gandhi, Malav A",,,,,MECO,6303,0W1,,33,12,1,4,,,,,,,,,,,,,,0
"Hyndman, Kyle B",,,,,,MECO,6345,001,,3,6,3,4,,,1,,,,,,,,,,,0
"Raghunathan, Srinivasan","Katira, Charmi Manoj",,,,,MIS,6308,001,,27,10,3,1,,,,,,,,,,,,,,0
"Menon, Syam","Hosseini, Leila",,,,,MIS,6316,0W1,,16,5,1,7,5,,1,,,,,,,,,,,2
"Sohaee, Nassim","Sainathan, Srinivas",,,,,MIS,6323,001,,22,13,9,5,5,,,,,,,,,,,,,0
"Kuksov, Dmitri G","Ameri, Mina","Park, Jieun",,,,MKT,6301,002,,8,7,3,5,1,,,,,,,,,,,,,0
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6301,0W1,,12,7,13,6,6,1,,,,,,,,,,,,0
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6330,0W1,,9,8,8,7,5,,1,,,,,,,,,,,0
"Richard, Orlando","Liu, Bosong",,,,,OB,6301,501,,29,1,5,15,1,,1,,,,,,,,,,,1
"Ziegler, Laurie","Li, Jianan",,,,,OB,6301,0W1,,41,1,,3,1,1,,,,,,,,,,,,0
"Janakiraman, Ganesh","Armaghan, Milad",,,,,OPRE,6302,001,,7,17,21,6,,,,,,,,,,,,,,0
"Leach, Sonia E","Kirci, Ismail",,,,,OPRE,6302,501,,20,4,6,11,1,2,2,,,,,2,,,,,,3
"Leach, Sonia E","Kirci, Ismail",,,,,OPRE,6302,002,,11,8,5,3,3,,,,,,,2,,,,,,1
"Leach, Sonia E","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6366,001,,15,5,8,6,4,1,2,,,,,2,,,,,,0
"Deluke, Eugene","Patil, Lalit D",,,,,OPRE,6369,0W1,,16,,,16,,,2,,,,,,,,,,,1
"Sabri, Ehap H","Yao, Chuyun",,,,,OPRE,6370,501,,31,17,6,2,,,,,,,,,,,,,,1
"Cakanyildirim, Metin","Feng, Zhichao",,,,,OPRE,7310,001,,2,3,5,,,,,,,,,,,,,,,0
"Peng, Mike","Yeo, Yundong",,,,,IMS,6204,555,,12,,,13,,,,,,,,,,,,,,1
"Woldu, Habte G","Zhou, Jun",,,,,IMS,6204,0W1,,13,17,11,6,,1,1,,,,,,,,,,,1
"Kimzey, Jackie","Lu, Yanchen",,,,,ENTP,6370,0W1,,5,7,6,15,2,,,,,,,,,,,,,1
"Picken, Joseph C",,,,,,ENTP,6380,501,,3,1,1,5,,,,,,,,,,,,,,0
"Picken, Joseph C",,,,,,MKT,6380,501,,2,,,3,2,,,,,,,,,,,,,0
"Moonesinghe, Mark S",,,,,,MIS,6317,501,,6,1,1,1,,,,,,,,,,,,,,0
"Jacob, Varghese",,,,,,MIS,7220,001,,7,,,,,,,,,,,,,,,,,0
"Xie, Ying","Ameri, Mina",,,,,MKT,6301,001,,8,13,19,12,2,,,,,,,1,,,,,,2
"Prasad, Ashutosh",,,,,,MKT,6309,501,,4,5,5,2,,,,,,,,,,,,,,0
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6310,0W1,,11,6,8,10,,1,,,,,,1,,,,,,1
"Richard, Orlando","Liu, Bosong",,,,,OB,6301,5E1,,8,,2,4,,,1,,,,,,,,,,,1
"Moonesinghe, Mark S",,,,,,HMGT,6323,501,,25,6,2,3,,1,,,,,,,,,,,,0
"Saretto, Alessio","Poochiyur Rangaswamy, Arunpriya",,,,,FIN,6360,001,,1,4,20,6,,,,,,,,,,,,,,0
"Shah, Rajiv","Kathuria, Nishant",,,,,ENTP,6388,501,,2,3,2,,1,,1,,,,,,,,,,,1
"Xiao, Steven","Kuang, Shimaoling",,,,,FIN,6301,002,,24,7,8,14,1,,,,,,,,,,,,,3
"Rahman, Nasir","Nie, Weikang",,,,,FIN,6350,001,,9,8,11,12,,1,1,,,,,,,,,,,0
"Zhang, Huibing","Rupp, Anin D",,,,,FIN,6364,501,,3,3,4,4,6,,,,,,,,,,,,,0
"Rebello, Michael J","Wang, Hui",,,,,FIN,6370,001,,1,2,2,1,,,,,,,,,,,,,,0
"Carraher, Shawn M",,,,,,BPS,6310,501,,12,4,2,1,,,,,,,,,,,,,,1
